Date,Merchant,Amount,Category
2026-04-01,ACME CORP PAYROLL,85000.00,Salary
2026-04-01,UPI-ZOMATO-ORDER,520.00,Food
2026-04-01,UBER INDIA TRIP-ID-44211,320.00,Transport
2026-04-01,BLINKIT-GROCERY,1180.00,Groceries
2026-04-02,SWIGGY-INSTAMART,880.00,Groceries
2026-04-02,POS-STARBUCKS BLR,540.00,Food
2026-04-02,AMAZON RETAIL,1899.00,Shopping
2026-04-02,SPOTIFY*PREMIUM,118.82,Subscriptions
2026-04-03,MAGNUS POSP-ZOMATO,720.00,Food
2026-04-03,RAPIDO BIKE-TAXI,165.00,Transport
2026-04-03,POS-PVR CINEMAS,880.00,Entertainment
2026-04-03,FLIPKART RETAIL,2200.00,Shopping
2026-04-05,CULT.FIT*MEMBERSHIP,2499.00,Fitness
2026-04-10,ATD*UPI/AUTOPAY/OPENAI CHATGPT,1650.00,Subscriptions
2026-04-10,AIRTEL POSTPAID,599.00,Bills
2026-04-15,TATA POWER BLR,1840.00,Bills
2026-04-15,NETFLIX.COM,199.00,Subscriptions
2026-04-20,AMAZON PRIME MEMBERSHIP,179.00,Subscriptions
2026-04-04,ZOMATO-WEEKEND,480.00,Food
2026-04-04,POS-SOCIAL OFFLINE BLR,1450.00,Food
2026-04-05,SWIGGY-SUNDAY,420.00,Food
2026-04-06,ZOMATO-LUNCH,210.00,Food
2026-04-07,SWIGGY-DINNER,180.00,Food
2026-04-08,ZOMATO-LUNCH,195.00,Food
2026-04-09,SWIGGY-LUNCH,245.00,Food
2026-04-10,ZOMATO-DINNER,220.00,Food
2026-04-11,POS-TOIT BREWERY,1180.00,Food
2026-04-11,SWIGGY-WEEKEND,380.00,Food
2026-04-12,MAGNUS POSP-ZOMATO,1200.00,Food
2026-04-13,ZOMATO-LUNCH,240.00,Food
2026-04-14,SWIGGY-DINNER,175.00,Food
2026-04-15,ZOMATO-LUNCH,215.00,Food
2026-04-16,SWIGGY-LUNCH,190.00,Food
2026-04-17,ZOMATO-DINNER,230.00,Food
2026-04-18,SWIGGY-WEEKEND,410.00,Food
2026-04-18,POS-MEGHANA FOODS,890.00,Food
2026-04-19,ZOMATO-SUNDAY,460.00,Food
2026-04-20,SWIGGY-LUNCH,205.00,Food
2026-04-21,ZOMATO-DINNER,225.00,Food
2026-04-22,SWIGGY-LUNCH,190.00,Food
2026-04-23,ZOMATO-LUNCH,240.00,Food
2026-04-24,SWIGGY-DINNER,215.00,Food
2026-04-25,POS-CHURCH STREET SOCIAL,1320.00,Food
2026-04-25,ZOMATO-LATE-NIGHT,410.00,Food
2026-04-26,SWIGGY-SUNDAY,445.00,Food
2026-04-27,ZOMATO-LUNCH,220.00,Food
2026-04-28,SWIGGY-DINNER,195.00,Food
2026-04-04,UBER INDIA TRIP-ID-44290,280.00,Transport
2026-04-05,RAPIDO BIKE-TAXI,140.00,Transport
2026-04-06,UBER INDIA TRIP-ID-44320,195.00,Transport
2026-04-07,BMRC METRO TOP-UP,200.00,Transport
2026-04-08,UBER INDIA TRIP-ID-44380,210.00,Transport
2026-04-09,RAPIDO BIKE-TAXI,150.00,Transport
2026-04-10,UBER INDIA TRIP-ID-44440,180.00,Transport
2026-04-11,UBER INDIA WEEKEND-650,650.00,Transport
2026-04-12,UBER INDIA TRIP-ID-44510,220.00,Transport
2026-04-13,BMRC METRO TOP-UP,200.00,Transport
2026-04-14,UBER INDIA TRIP-ID-44580,170.00,Transport
2026-04-15,RAPIDO BIKE-TAXI,130.00,Transport
2026-04-16,UBER INDIA TRIP-ID-44640,200.00,Transport
2026-04-17,UBER INDIA TRIP-ID-44700,185.00,Transport
2026-04-19,UBER INDIA WEEKEND-540,540.00,Transport
2026-04-20,BMRC METRO TOP-UP,200.00,Transport
2026-04-21,UBER INDIA TRIP-ID-44820,215.00,Transport
2026-04-22,RAPIDO BIKE-TAXI,145.00,Transport
2026-04-23,UBER INDIA TRIP-ID-44890,195.00,Transport
2026-04-24,UBER INDIA TRIP-ID-44950,210.00,Transport
2026-04-27,BMRC METRO TOP-UP,200.00,Transport
2026-04-28,UBER INDIA TRIP-ID-45100,185.00,Transport
2026-04-07,BLINKIT-GROCERY,420.00,Groceries
2026-04-14,BIGBASKET,1180.00,Groceries
2026-04-21,BLINKIT-GROCERY,690.00,Groceries
2026-04-28,BIGBASKET WEEKLY,950.00,Groceries
2026-04-09,MYNTRA RETAIL,720.00,Shopping
2026-04-16,MYNTRA RETAIL,480.00,Shopping
2026-04-24,MYNTRA RETAIL,8900.00,Shopping
2026-04-26,AMAZON RETAIL,540.00,Shopping
2026-04-04,POS-PVR CINEMAS,480.00,Entertainment
2026-04-18,BOOK MY SHOW,1800.00,Entertainment
2026-04-19,POS-PVR CINEMAS,920.00,Entertainment
2026-04-24,BOOK MY SHOW IPL,2400.00,Entertainment
2026-04-26,BOOK MY SHOW,1100.00,Entertainment
2026-04-02,UPI-CHAI-TAPRI,25.00,Misc
2026-04-03,UPI-PARKING-MG-RD,40.00,Misc
2026-04-04,UPI-AUTO-RICKSHAW,65.00,Misc
2026-04-05,UPI-CHAI-TAPRI,30.00,Misc
2026-04-06,UPI-VENDING-OFFICE,45.00,Misc
2026-04-07,UPI-CHAI-TAPRI,25.00,Misc
2026-04-08,UPI-PARKING-INDIRANAGAR,50.00,Misc
2026-04-09,UPI-AUTO-RICKSHAW,80.00,Misc
2026-04-10,UPI-VENDING-OFFICE,35.00,Misc
2026-04-11,UPI-CHAI-TAPRI,25.00,Misc
2026-04-12,UPI-PARKING-MG-RD,40.00,Misc
2026-04-13,UPI-AUTO-RICKSHAW,70.00,Misc
2026-04-14,UPI-CHAI-TAPRI,30.00,Misc
2026-04-15,UPI-VENDING-OFFICE,45.00,Misc
2026-04-16,UPI-PARKING-KORAMANGALA,60.00,Misc
2026-04-17,UPI-CHAI-TAPRI,25.00,Misc
2026-04-18,UPI-AUTO-RICKSHAW,85.00,Misc
2026-04-19,UPI-PARKING-INDIRANAGAR,50.00,Misc
2026-04-20,UPI-CHAI-TAPRI,30.00,Misc
2026-04-21,UPI-VENDING-OFFICE,35.00,Misc
2026-04-22,UPI-AUTO-RICKSHAW,75.00,Misc
2026-04-23,UPI-CHAI-TAPRI,25.00,Misc
2026-04-24,UPI-PARKING-MG-RD,40.00,Misc
2026-04-25,UPI-AUTO-RICKSHAW,90.00,Misc
2026-04-26,UPI-CHAI-TAPRI,30.00,Misc
2026-04-27,UPI-VENDING-OFFICE,45.00,Misc
2026-04-28,UPI-AUTO-RICKSHAW,70.00,Misc
2026-04-29,UPI-CHAI-TAPRI,25.00,Misc
2026-04-30,UPI-PARKING-INDIRANAGAR,55.00,Misc
2026-04-30,UPI-AUTO-RICKSHAW,95.00,Misc
2026-04-02,UPI-PARKING-MALL,60.00,Misc
2026-04-03,UPI-WATER-BOTTLE,20.00,Misc
2026-04-04,UPI-AUTO-RICKSHAW,85.00,Misc
2026-04-05,UPI-PAAN-SHOP,30.00,Misc
2026-04-06,UPI-CHAI-TAPRI,25.00,Misc
2026-04-07,UPI-XEROX-SHOP,40.00,Misc
2026-04-08,UPI-VENDING-MACHINE,50.00,Misc
2026-04-09,UPI-PARKING-MALL,55.00,Misc
2026-04-10,UPI-AUTO-RICKSHAW,90.00,Misc
2026-04-11,UPI-WATER-BOTTLE,25.00,Misc
2026-04-12,UPI-CHAI-TAPRI,30.00,Misc
2026-04-13,UPI-PARKING-MALL,50.00,Misc
2026-04-14,UPI-AUTO-RICKSHAW,75.00,Misc
2026-04-15,UPI-PAAN-SHOP,35.00,Misc
2026-04-16,UPI-VENDING-MACHINE,45.00,Misc
2026-04-17,UPI-PARKING-MALL,60.00,Misc
2026-04-18,UPI-CHAI-TAPRI,30.00,Misc
2026-04-19,UPI-WATER-BOTTLE,25.00,Misc
2026-04-20,UPI-AUTO-RICKSHAW,80.00,Misc
2026-04-21,UPI-PARKING-MALL,55.00,Misc
2026-04-22,UPI-VENDING-MACHINE,50.00,Misc
2026-04-23,UPI-CHAI-TAPRI,25.00,Misc
2026-04-24,UPI-PAAN-SHOP,35.00,Misc
2026-04-25,UPI-AUTO-RICKSHAW,85.00,Misc
2026-04-26,UPI-PARKING-MALL,60.00,Misc
2026-04-27,UPI-WATER-BOTTLE,25.00,Misc
2026-04-28,UPI-CHAI-TAPRI,30.00,Misc
2026-04-29,UPI-VENDING-MACHINE,45.00,Misc
2026-04-30,UPI-PAAN-SHOP,35.00,Misc
2026-04-30,UPI-PARKING-MALL,55.00,Misc
