Date,Merchant,Amount,Category
2026-04-01,ACME CORP PAYROLL,75000.00,Salary
2026-04-01,FLIPKART RETAIL,8500.00,Shopping
2026-04-01,AMAZON RETAIL,4200.00,Shopping
2026-04-01,POS-SOCIAL OFFLINE BLR,2100.00,Food
2026-04-01,UBER INDIA TRIP-ID-P1,540.00,Transport
2026-04-02,MYNTRA RETAIL,5500.00,Shopping
2026-04-02,POS-PVR CINEMAS,1200.00,Entertainment
2026-04-02,POS-TOIT BREWERY,1850.00,Food
2026-04-02,UBER INDIA TRIP-ID-P2,480.00,Transport
2026-04-03,POS-CHURCH STREET SOCIAL,1900.00,Food
2026-04-03,BOOK MY SHOW IPL,3200.00,Entertainment
2026-04-03,FLIPKART RETAIL,3400.00,Shopping
2026-04-03,UBER INDIA TRIP-ID-P3,620.00,Transport
2026-04-04,SWIGGY-LUNCH,220.00,Food
2026-04-05,ZOMATO-DINNER,380.00,Food
2026-04-06,UBER INDIA TRIP-ID-P4,180.00,Transport
2026-04-07,SWIGGY-LUNCH,195.00,Food
2026-04-09,AIRTEL POSTPAID,599.00,Bills
2026-04-10,BLINKIT-GROCERY,350.00,Groceries
2026-04-12,SWIGGY-LUNCH,180.00,Food
2026-04-15,TATA POWER BLR,1620.00,Bills
2026-04-15,BMRC METRO TOP-UP,200.00,Transport
2026-04-17,ZOMATO-LUNCH,160.00,Food
2026-04-19,SWIGGY-DINNER,195.00,Food
2026-04-21,UBER INDIA TRIP-ID-P5,150.00,Transport
2026-04-23,ZOMATO-LUNCH,175.00,Food
2026-04-25,SWIGGY-DINNER,220.00,Food
2026-04-27,BMRC METRO TOP-UP,200.00,Transport
2026-04-29,ZOMATO-LUNCH,190.00,Food
2026-04-05,SPOTIFY*PREMIUM,119.00,Subscriptions
