Date,Merchant,Amount,Category
2026-04-01,STATE GOV PAYROLL,55000.00,Salary
2026-04-05,AIRTEL POSTPAID,399.00,Bills
2026-04-08,TATA POWER BLR,980.00,Bills
2026-04-10,GAS-INDANE,1100.00,Bills
2026-04-12,BWSSB WATER,320.00,Bills
2026-04-03,BIGBASKET WEEKLY,1450.00,Groceries
2026-04-10,BIGBASKET WEEKLY,1380.00,Groceries
2026-04-17,BIGBASKET WEEKLY,1520.00,Groceries
2026-04-24,BIGBASKET WEEKLY,1410.00,Groceries
2026-04-04,BMRC METRO TOP-UP,500.00,Transport
2026-04-11,BMRC METRO TOP-UP,500.00,Transport
2026-04-18,BMRC METRO TOP-UP,500.00,Transport
2026-04-25,BMRC METRO TOP-UP,500.00,Transport
2026-04-06,SWIGGY-LUNCH,180.00,Food
2026-04-13,ZOMATO-LUNCH,195.00,Food
2026-04-20,SWIGGY-DINNER,210.00,Food
2026-04-27,ZOMATO-LUNCH,175.00,Food
2026-04-05,SPOTIFY*PREMIUM,119.00,Subscriptions
