Date,Merchant,Amount,Category
2026-04-01,TECH CORP PAYROLL,120000.00,Salary
2026-04-02,BLINKIT-GROCERY,850.00,Groceries
2026-04-03,AIRTEL POSTPAID,999.00,Bills
2026-04-05,TATA POWER BLR,2400.00,Bills
2026-04-08,BIGBASKET WEEKLY,1450.00,Groceries
2026-04-02,SWIGGY-LUNCH,220.00,Food
2026-04-03,ZOMATO-DINNER,280.00,Food
2026-04-06,SWIGGY-LUNCH,235.00,Food
2026-04-08,ZOMATO-DINNER,295.00,Food
2026-04-09,SWIGGY-LUNCH,210.00,Food
2026-04-10,ZOMATO-DINNER,270.00,Food
2026-04-13,SWIGGY-LUNCH,240.00,Food
2026-04-15,ZOMATO-DINNER,285.00,Food
2026-04-02,UBER INDIA TRIP-ID-X1,180.00,Transport
2026-04-04,UBER INDIA TRIP-ID-X2,215.00,Transport
2026-04-06,UBER INDIA TRIP-ID-X3,195.00,Transport
2026-04-08,UBER INDIA TRIP-ID-X4,220.00,Transport
2026-04-10,UBER INDIA TRIP-ID-X5,240.00,Transport
2026-04-12,UBER INDIA TRIP-ID-X6,185.00,Transport
2026-04-14,UBER INDIA TRIP-ID-X7,210.00,Transport
2026-04-05,MYNTRA RETAIL,480.00,Shopping
2026-04-09,AMAZON RETAIL,520.00,Shopping
2026-04-12,FLIPKART RETAIL,410.00,Shopping
2026-04-17,MYNTRA RETAIL,6200.00,Shopping
2026-04-20,AMAZON RETAIL,4800.00,Shopping
2026-04-23,FLIPKART RETAIL,9100.00,Shopping
2026-04-25,MYNTRA RETAIL,580.00,Shopping
2026-04-27,AMAZON RETAIL,620.00,Shopping
2026-04-17,SWIGGY-LUNCH,215.00,Food
2026-04-19,ZOMATO-DINNER,290.00,Food
2026-04-21,SWIGGY-LUNCH,225.00,Food
2026-04-23,ZOMATO-DINNER,280.00,Food
2026-04-25,SWIGGY-LUNCH,235.00,Food
2026-04-27,ZOMATO-DINNER,270.00,Food
2026-04-16,UBER INDIA TRIP-ID-X8,205.00,Transport
2026-04-19,UBER INDIA TRIP-ID-X9,195.00,Transport
2026-04-22,UBER INDIA TRIP-ID-X10,225.00,Transport
2026-04-25,UBER INDIA TRIP-ID-X11,210.00,Transport
2026-04-28,UBER INDIA TRIP-ID-X12,240.00,Transport
2026-04-02,SPOTIFY*PREMIUM,119.00,Subscriptions
2026-04-15,NETFLIX.COM,199.00,Subscriptions
